participant_index,trial_number,pattern_id,success,n_steps,program_ops,program_symbolic,helpers_used,helpers_used_expanded,helpers_created_this_trial,helper_library_size
5,12,12,1,2,invert -> add,"W1 = invert(H95) ; W2 = add(W1, square)",H95,"H95=W1 = add(H78, line_h) ; W2 = add(H79, line_v) ; W3 = add(W2, W1) ; W4 = invert(W3) ; W5 = add(W4, H90)","H96,H97",22
5,13,13,1,1,subtract,"W1 = subtract(H85, H90)","H85,H90","H85=W1 = add(diag, H84) | H90=W1 = overlap(line_h, line_v) ; W2 = add(H83, W1) ; W3 = overlap(H78, line_v) ; W4 = overlap(line_h, H79) ; W5 = add(W2, W3) ; W6 = add(W5, W4)",H98,23
5,14,14,1,1,subtract,"W1 = subtract(H86, H90)","H86,H90","H86=W1 = add(H85, line_h) ; W2 = add(W1, H78) ; W3 = add(W2, H79) ; W4 = add(W3, line_v) | H90=W1 = overlap(line_h, line_v) ; W2 = add(H83, W1) ; W3 = overlap(H78, line_v) ; W4 = overlap(line_h, H79) ; W5 = add(W2, W3) ; W6 = add(W5, W4)",H99,24
6,1,1,1,7,add -> reflect_d -> reflect_d -> add -> reflect_h -> reflect_v -> add,"W1 = add(line_h, line_v) ; W2 = reflect_d(W1) ; W3 = reflect_d(W2) ; W4 = add(W3, W3) ; W5 = reflect_h(W4) ; W6 = reflect_v(W4) ; W7 = add(W5, W6)",,,,0
6,2,2,1,6,add -> add -> reflect_h -> add -> reflect_v -> add,"W1 = add(square, line_h) ; W2 = add(W1, line_v) ; W3 = reflect_h(W2) ; W4 = add(W2, W3) ; W5 = reflect_v(W2) ; W6 = add(W4, W5)",,,"H100,H101,H102",3
6,3,3,1,3,invert -> reflect_v -> subtract,"W1 = invert(H101) ; W2 = reflect_v(line_v) ; W3 = subtract(W1, W2)",H101,"H101=W1 = add(square, line_h) ; W2 = add(W1, line_v) ; W3 = reflect_h(W2) ; W4 = add(W2, W3)",H103,4
6,4,4,1,3,subtract -> reflect_v -> subtract,"W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = subtract(W1, W2)",,,H104,5
6,5,5,1,3,add -> reflect_v -> add,"W1 = add(square, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2)",,,H105,6
6,6,6,1,1,invert,W1 = invert(H105),H105,"H105=W1 = add(square, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2)",,6
6,7,7,1,8,add -> add -> reflect_v -> add -> reflect_v -> reflect_h -> add -> add,"W1 = add(line_v, line_h) ; W2 = add(W1, diag) ; W3 = reflect_v(diag) ; W4 = add(W2, W3) ; W5 = reflect_v(line_v) ; W6 = reflect_h(line_h) ; W7 = add(W4, W5) ; W8 = add(W6, W7)",,,,6
6,8,8,1,7,overlap -> reflect_h -> reflect_v -> overlap -> add -> reflect_v -> add,"W1 = overlap(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = overlap(W2, W3) ; W5 = add(W1, W4) ; W6 = reflect_v(W5) ; W7 = add(W5, W6)",,,,6
6,9,9,1,8,reflect_h -> reflect_v -> overlap -> overlap -> add -> reflect_v -> add -> add,"W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, W2) ; W5 = add(W3, W4) ; W6 = reflect_v(W5) ; W7 = add(W5, W6) ; W8 = add(square, W7)",,,"H106,H107",8
6,10,10,1,1,invert,W1 = invert(H107),H107,"H107=W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, W2) ; W5 = add(W3, W4) ; W6 = reflect_v(W5) ; W7 = add(W5, W6) ; W8 = add(square, W7)",,8
6,11,11,1,7,add -> reflect_h -> reflect_v -> add -> add -> invert -> add,"W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W1, W2) ; W5 = add(W3, W4) ; W6 = invert(W5) ; W7 = add(H106, W6)",H106,"H106=W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, W2) ; W5 = add(W3, W4) ; W6 = reflect_v(W5) ; W7 = add(W5, W6)",H108,9
6,12,12,1,2,invert -> add,"W1 = invert(H108) ; W2 = add(square, W1)",H108,"H108=W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W1, W2) ; W5 = add(W3, W4) ; W6 = invert(W5) ; W7 = add(H106, W6)",H109,10
6,13,13,1,3,reflect_v -> add -> subtract,"W1 = reflect_v(diag) ; W2 = add(diag, W1) ; W3 = subtract(W2, H106)",H106,"H106=W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, W2) ; W5 = add(W3, W4) ; W6 = reflect_v(W5) ; W7 = add(W5, W6)",H110,11
6,14,14,1,7,add -> reflect_h -> reflect_v -> add -> add -> add -> subtract,"W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W1) ; W5 = add(W3, W4) ; W6 = add(H110, W5) ; W7 = subtract(W6, H106)","H106,H110","H106=W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, W2) ; W5 = add(W3, W4) ; W6 = reflect_v(W5) ; W7 = add(W5, W6) | H110=W1 = reflect_v(diag) ; W2 = add(diag, W1) ; W3 = subtract(W2, H106)",,11
7,1,1,1,5,reflect_v -> add -> reflect_h -> add -> add,"W1 = reflect_v(line_v) ; W2 = add(W1, line_v) ; W3 = reflect_h(line_h) ; W4 = add(W3, line_h) ; W5 = add(W2, W4)",,,"H111,H112,H113,H114",4
7,2,2,1,2,add -> add,"W1 = add(H114, H112) ; W2 = add(W1, square)","H112,H114","H112=W1 = reflect_v(line_v) ; W2 = add(W1, line_v) | H114=W1 = reflect_v(line_v) ; W2 = add(W1, line_v) ; W3 = reflect_h(line_h) ; W4 = add(W3, line_h)","H115,H116",6
7,3,3,1,1,invert,W1 = invert(H116),H116,"H116=W1 = add(H114, H112) ; W2 = add(W1, square)",,6
7,4,4,1,3,subtract -> reflect_h -> subtract,"W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = subtract(W1, W2)",,,"H117,H118,H119",9
7,5,5,1,2,add -> add,"W1 = add(diag, H118) ; W2 = add(square, W1)",H118,"H118=W1 = subtract(square, diag) ; W2 = reflect_h(diag)","H120,H121",11
7,6,6,1,1,invert,W1 = invert(H121),H121,"H121=W1 = add(diag, H118) ; W2 = add(square, W1)",H122,12
7,7,7,1,1,add,"W1 = add(H115, H120)","H115,H120","H115=W1 = add(H114, H112) | H120=W1 = add(diag, H118)",H123,13
7,8,8,1,6,invert -> add -> subtract -> add -> subtract -> subtract,"W1 = invert(H115) ; W2 = add(H114, W1) ; W3 = subtract(W2, H112) ; W4 = add(W1, H112) ; W5 = subtract(W4, H114) ; W6 = subtract(H112, W5)","H112,H114,H115","H112=W1 = reflect_v(line_v) ; W2 = add(W1, line_v) | H114=W1 = reflect_v(line_v) ; W2 = add(W1, line_v) ; W3 = reflect_h(line_h) ; W4 = add(W3, line_h) | H115=W1 = add(H114, H112)","H124,H125,H126,H127,H128,H129",19
7,9,9,1,1,add,"W1 = add(H129, square)",H129,"H129=W1 = invert(H115) ; W2 = add(H114, W1) ; W3 = subtract(W2, H112) ; W4 = add(W1, H112) ; W5 = subtract(W4, H114) ; W6 = subtract(H112, W5)",H130,20
7,10,10,1,1,invert,W1 = invert(H130),H130,"H130=W1 = add(H129, square)",H131,21
7,11,11,1,1,add,"W1 = add(H124, H129)","H124,H129","H124=W1 = invert(H115) | H129=W1 = invert(H115) ; W2 = add(H114, W1) ; W3 = subtract(W2, H112) ; W4 = add(W1, H112) ; W5 = subtract(W4, H114) ; W6 = subtract(H112, W5)",H132,22
7,12,12,1,2,invert -> add,"W1 = invert(H132) ; W2 = add(W1, square)",H132,"H132=W1 = add(H124, H129)","H133,H134",24
7,13,13,1,1,subtract,"W1 = subtract(H120, H129)","H120,H129","H120=W1 = add(diag, H118) | H129=W1 = invert(H115) ; W2 = add(H114, W1) ; W3 = subtract(W2, H112) ; W4 = add(W1, H112) ; W5 = subtract(W4, H114) ; W6 = subtract(H112, W5)",H135,25
7,14,14,1,1,subtract,"W1 = subtract(H123, H129)","H123,H129","H123=W1 = add(H115, H120) | H129=W1 = invert(H115) ; W2 = add(H114, W1) ; W3 = subtract(W2, H112) ; W4 = add(W1, H112) ; W5 = subtract(W4, H114) ; W6 = subtract(H112, W5)",H136,26
